latitude,longitude,bright_ti4,confidence,bright_ti5,frp
-38.210915,146.84877,367.0,h,316.7,142.27
-38.206326000000004,146.825089,367.0,h,340.49,92.88
-38.235203000000006,146.97833300000002,367.0,h,328.38,66.14
-38.248711,146.95873999999998,367.0,h,348.82,26.96
-38.232582,146.973053,367.0,h,308.07,25.33
-37.260155,148.009399,367.0,h,307.15,17.66
-37.25832,148.018326,367.0,h,306.65,27.51
-37.264846999999996,148.002884,367.0,h,315.62,62.92
-37.287174,148.18425,367.0,h,294.91,35.17
-37.246323,148.040298,367.0,h,309.5,40.47
-37.267311,148.098557,367.0,h,313.45,96.68
-37.303432,148.12475600000002,367.0,h,333.36,266.03
-37.317436,148.118744,367.0,h,335.92,129.57
-37.303523999999996,148.124451,367.0,h,331.51,257.13
-37.317608,148.118393,367.0,h,335.63,85.17
-37.278591,148.035126,367.0,h,304.52,11.49
-37.288013,148.15768400000002,367.0,h,303.9,65.54
-37.280891,148.160934,367.0,h,302.79,65.54
-37.263733,147.99963400000001,367.0,h,307.47,9.35
-37.258915,148.061752,367.0,h,313.09,42.01
-37.262485999999996,148.071198,367.0,h,314.68,40.09
-37.269127000000005,148.069534,367.0,h,316.94,44.82
-37.272587,148.079407,367.0,h,316.37,49.69
-37.299820000000004,148.18336499999998,367.0,h,293.96,27.61
-37.313347,148.089294,367.0,h,308.46,58.61
-37.305176,148.073151,367.0,h,312.12,52.16
-37.293015000000004,148.072495,367.0,h,309.32,22.42
-37.290958,148.05748,367.0,h,309.11,23.37
-37.306664000000005,148.091064,367.0,h,312.72,42.65
-37.300835,148.08900500000001,367.0,h,310.76,42.37
-37.290874,148.080292,367.0,h,308.0,24.45
-37.308338,148.194977,367.0,h,289.78,11.34
-37.31654,148.209625,367.0,h,291.82,11.96
-37.240231,148.08931,367.0,h,292.7,10.88
-37.713359999999994,146.28479,367.0,h,298.54,31.35
-37.661716,146.23812900000001,367.0,h,295.57,13.85
-37.720787,146.28753700000001,367.0,h,301.24,32.45
-38.247746,144.447372,367.0,h,307.55,23.99
-37.34988,148.170471,367.0,h,293.42,14.55
-37.340271,148.120956,367.0,h,305.3,39.47
-37.313572,148.230438,367.0,h,300.92,9.1
-37.285198,148.229919,367.0,h,296.89,43.69
-37.279915,148.228271,367.0,h,304.93,22.01
-37.971503999999996,146.434784,367.0,h,301.94,13.79
-37.300034000000004,146.98336799999998,367.0,h,299.94,9.2
-37.285294,146.977585,367.0,h,302.19,5.85
-38.006405,145.68528700000002,367.0,h,327.79,126.92
-37.090542,147.17036399999998,367.0,h,298.86,9.12
-37.604267,146.69986,367.0,h,306.63,48.15
-37.968281,145.63986200000002,367.0,h,317.07,28.08
-37.997288,145.68318200000002,367.0,h,306.51,19.5
-38.020115000000004,145.677246,367.0,h,290.4,23.21
-37.974540999999995,145.675552,367.0,h,294.44,16.85
-37.959145,145.67746,367.0,h,300.01,20.22
-37.998444,145.6465,367.0,h,292.17,28.82
-38.011829,145.61853,367.0,h,298.67,7.45
-38.027252000000004,145.684418,367.0,h,298.16,15.76
-38.390263,146.399857,367.0,h,296.87,41.61
-37.984238,145.71528600000002,367.0,h,304.31,16.15
-37.959003,145.698486,367.0,h,303.2,11.12
-37.968235,145.620422,367.0,h,294.17,13.57
-38.379173,146.39621,367.0,h,299.15,11.01
-38.056903999999996,145.690567,367.0,h,295.44,41.87
-38.049221,145.732269,367.0,h,301.88,8.07
-38.048344,145.753586,367.0,h,297.37,16.81
-37.286858,147.006607,367.0,h,303.98,29.05
-37.29229,147.008698,367.0,h,307.35,29.05
-37.105270000000004,147.196823,367.0,h,304.06,21.48
-37.297958,147.006561,367.0,h,303.04,25.5
-37.299416,146.881027,367.0,h,296.34,10.0
-37.315071,146.861145,367.0,h,290.22,11.66
-37.316761,146.870575,367.0,h,298.62,10.35
-37.10508,147.200516,367.0,h,299.52,28.94
-37.088570000000004,147.201553,367.0,h,301.67,15.76
-37.6563,146.736252,367.0,h,291.02,13.5
-37.663193,146.778595,367.0,h,296.41,27.62
-37.658516,146.773102,367.0,h,301.13,27.12
-37.651740999999994,146.775192,367.0,h,299.39,27.12
-37.695045,146.70906100000002,367.0,h,294.91,39.84
-37.605949,146.691986,367.0,h,295.68,10.39
-37.295574,147.010376,367.0,h,298.39,13.09
-37.280246999999996,147.035461,367.0,h,300.15,34.01
-37.30825,147.026154,367.0,h,301.3,188.12
-37.283115,147.032608,367.0,h,306.73,38.57
-37.273509999999995,146.992172,367.0,h,293.72,12.4
-37.295147,146.960495,367.0,h,293.95,16.21
-37.729820000000004,146.763351,367.0,h,292.01,8.11
-37.953022,145.618729,367.0,h,288.54,11.11
-37.278255,146.348572,367.0,h,292.46,270.66
-37.271004,146.34741200000002,367.0,h,296.28,270.66
-37.074593,147.17652900000002,367.0,h,294.48,18.41
-37.592499,145.88691699999998,367.0,h,326.3,49.66
-37.339473999999996,146.97843899999998,367.0,h,326.09,120.58
-37.542823999999996,146.837143,367.0,h,348.64,134.31
-37.470504999999996,146.76106299999998,367.0,h,295.35,18.95
-37.477661,146.763031,367.0,h,354.36,241.07
-37.509903,146.871872,367.0,h,302.06,14.1
-37.517616,146.891068,367.0,h,338.27,339.25
-37.531776,146.896194,367.0,h,339.24,238.91
-37.75909,146.76904299999998,367.0,h,304.06,25.14
-37.759239,146.748123,367.0,h,303.09,72.89
-37.754002,146.736008,367.0,h,293.17,14.68
-37.746635,146.755402,367.0,h,295.59,13.92
-37.731152,146.777939,367.0,h,307.7,82.43
-37.671986,146.852936,367.0,h,311.8,37.67
-37.655215999999996,146.88230900000002,367.0,h,300.31,105.94
-37.654861,146.843781,367.0,h,312.46,30.17
-37.654194,146.82716399999998,367.0,h,311.77,14.38
-37.712852000000005,146.875351,367.0,h,371.41,205.21
-37.705708,146.87323,367.0,h,345.5,461.38
-37.695171,146.849747,367.0,h,345.41,110.52
-37.689116999999996,146.841751,367.0,h,340.44,204.02
-37.726101,146.885056,367.0,h,359.92,485.89
-37.721924,146.867188,367.0,h,327.55,214.07
-37.719840999999995,146.838287,367.0,h,290.13,25.48
-37.656837,146.671921,367.0,h,292.57,19.38
-37.32188,146.950546,367.0,h,300.59,16.79
-37.314705,146.948303,367.0,h,301.83,36.71
-37.784119,146.755432,367.0,h,352.91,305.42
-37.610973,146.671967,367.0,h,296.9,11.73
-37.59861,146.782532,367.0,h,310.34,26.96
-37.547379,146.96669,367.0,h,292.99,9.57
-37.61293,146.95211799999998,367.0,h,301.2,12.59
-36.711796,141.404648,367.0,h,302.92,8.68
-36.710567,141.414322,367.0,h,302.58,6.36
-36.899260999999996,146.595688,367.0,h,292.14,14.83
-37.301777,146.929398,367.0,h,301.63,16.85
-36.621033000000004,141.908066,367.0,h,315.22,15.47
-36.674728,141.329681,367.0,h,307.59,19.61
-36.661179,141.340912,367.0,h,307.02,5.73
-36.650749,141.321548,367.0,h,308.57,11.8
-36.377869,141.42025800000002,367.0,h,313.67,18.69
-36.683890999999996,141.446182,367.0,h,313.12,16.78
-35.693321000000005,141.049118,367.0,h,335.68,83.94
-36.709152,141.559753,367.0,h,300.86,28.88
-37.692062,147.991989,367.0,h,304.63,14.97
-35.366367,141.10681200000002,367.0,h,296.38,22.91
-37.85778,143.59127800000002,367.0,h,298.07,12.3
-37.181877,143.824036,367.0,h,299.53,12.2
-37.587795,142.70976299999998,367.0,h,312.49,21.54
-37.307045,146.105988,367.0,h,293.47,8.55
-37.980323999999996,143.614136,367.0,h,305.5,15.71
-37.973118,143.38966399999998,367.0,h,295.56,9.54
-36.797321000000004,145.32836899999998,367.0,h,299.39,47.43
-38.098312,143.38288899999998,367.0,h,302.61,32.93
-37.144951,148.69078100000002,367.0,h,299.25,29.25
-37.662594,144.285919,367.0,h,303.36,17.7
-36.444664,141.31440700000002,367.0,h,300.65,10.45
-35.382870000000004,141.049927,367.0,h,299.13,7.29
-37.918106,143.435577,367.0,h,290.57,19.0
-36.972946,142.038116,367.0,h,304.88,52.67
-36.491806,141.209259,367.0,h,294.78,24.05
-37.748352000000004,146.262848,367.0,h,325.51,214.73
-37.454868,144.312241,367.0,h,292.1,13.57
-37.544514,143.580429,367.0,h,293.28,77.8
-36.929660999999996,143.28358500000002,367.0,h,299.6,27.95
-37.971569,143.9328,367.0,h,301.75,7.7
-36.779015,141.767181,367.0,h,301.43,13.26
-35.463547,143.76315300000002,367.0,h,305.65,8.91
-36.925922,141.389648,367.0,h,296.33,9.14
-37.622776,141.49794,367.0,h,292.17,13.8
-37.619461,142.641418,367.0,h,296.84,21.73
-38.070175,143.699814,367.0,h,292.89,20.51
-37.524615999999995,143.580429,367.0,h,295.93,31.57
-37.345001,143.592026,367.0,h,295.56,18.26
-37.874924,146.118607,367.0,h,339.81,625.16
-37.769034999999995,147.161652,367.0,h,293.13,9.61
-37.214813,143.252716,367.0,h,299.45,63.52
-36.653,146.63092,367.0,h,298.73,25.29
-38.414867,147.07663,367.0,h,297.13,27.27
-37.215053999999995,143.156326,367.0,h,295.46,12.39
-35.959334999999996,145.693497,367.0,h,294.93,11.0
-37.49535,142.284821,367.0,h,281.37,6.24
-36.975712,147.919907,367.0,h,293.42,19.31
-34.717735,142.93893400000002,367.0,h,295.63,11.89
-37.723045,148.29402199999998,367.0,h,292.84,4.82
-38.227345,146.968903,367.0,h,293.63,16.78
-37.324615,143.14238,367.0,h,291.45,16.79
-37.251934000000006,142.49653600000002,367.0,h,295.28,21.44
-38.152443,147.04896499999998,367.0,h,296.21,12.84
-38.110229,146.36321999999998,367.0,h,291.93,10.37
-37.598633,142.522125,367.0,h,281.27,10.69
-35.051586,141.302979,367.0,h,304.72,18.76
-35.032291,141.266678,367.0,h,302.36,15.51
-35.032467,141.386383,367.0,h,306.72,18.46
-34.559628000000004,141.447342,367.0,h,309.57,14.86
-37.126869,141.130295,367.0,h,306.26,14.93
-37.837849,147.170319,367.0,h,295.91,7.78
-37.588710999999996,148.105942,367.0,h,308.25,12.06
-36.854347,144.73468,367.0,h,302.88,11.47
-37.957214,144.62086499999998,367.0,h,311.72,9.59
-37.704803000000005,147.935852,367.0,h,333.29,78.38
-37.6964,147.942001,367.0,h,297.42,14.01
-37.057842,146.918823,367.0,h,296.61,12.63
-36.978188,146.628479,367.0,h,306.51,37.97
-37.341648,148.338089,367.0,h,292.6,32.86
-36.745358,147.374496,367.0,h,290.46,47.29
-37.67123,147.99794,367.0,h,333.85,153.51
-37.473273999999996,147.958084,367.0,h,302.16,12.81
-37.427085999999996,147.995758,367.0,h,307.54,63.05
-37.62471,147.973099,367.0,h,308.82,17.08
-37.364433,147.98998999999998,367.0,h,298.74,16.05
-37.4674,147.600067,367.0,h,307.5,23.57
-35.995396,144.076706,367.0,h,317.6,10.3
-37.345055,147.916916,367.0,h,310.34,16.8
-37.441051,147.957504,367.0,h,295.21,7.26
-37.330028999999996,147.963211,367.0,h,319.05,19.2
-37.411381,148.300201,367.0,h,292.82,5.47
-37.473312,147.561386,367.0,h,294.15,6.99
-37.433128,147.969162,367.0,h,294.1,15.79
-37.459942,147.982925,367.0,h,361.23,230.73
-37.423203,148.26054399999998,367.0,h,292.24,10.5
-37.459140999999995,148.015213,367.0,h,297.87,26.35
-37.420578000000006,148.257233,367.0,h,300.69,12.74
-37.486156,147.582031,367.0,h,292.91,5.4
-37.403114,148.03855900000002,367.0,h,304.11,16.26
-37.377876,148.331955,367.0,h,303.03,6.7
-37.398491,147.608963,367.0,h,309.47,46.65
-37.265910999999996,148.379623,367.0,h,316.43,38.17
-37.377625,148.336197,367.0,h,315.94,14.82
